ts	name	parse_us	compute_us	total_us	status
2026-05-11T00:00:00	v0_baseline	85.74	9.66	95.41	kept
2026-05-11T00:01:00	v1_transpose_B_linear_trace	85.33	3.19	88.54	kept
2026-05-11T00:02:00	v2_sep1_parse	63.22	3.19	66.43	kept
2026-05-11T00:03:00	v3_simd_4int_fastpath	75.07	3.19	78.27	reverted
2026-05-11T00:04:00	v4_int16_storage_vpmaddwd	69.08	0.48	69.58	reverted
2026-05-11T00:05:00	v5_avx512_trace	66.97	1.12	68.11	reverted
2026-05-11T00:06:00	v6_hoist_p2_load	61.40	3.19	64.61	kept
2026-05-11T00:07:00	v7_avx512_packus_madd	62.58	0.99	63.59	kept
2026-05-11T00:08:00	v8_4byte_load_extract	71.67	0.99	72.68	reverted
2026-05-11T00:09:00	v9_quad_acc_trace	65.79	0.99	66.80	reverted
2026-05-11T00:10:00	v10_2int_speculative	85.40	1.01	86.41	reverted
2026-05-11T00:11:00	v11_explicit_branch_hints	71.40	1.00	72.41	reverted
2026-05-11T00:12:00	v12_fused_strided_A_reads	69.20	0.02	69.24	reverted
2026-05-11T00:13:00	v13_fused_transposed_A	69.42	0.02	69.46	reverted
2026-05-11T00:14:00	v14_pgo	78.47	0.99	79.47	reverted
2026-05-11T00:15:00	v15_simplified_trace	62.56	0.85	63.43	kept
2026-05-11T00:16:00	v16_pointer_loop	68.43	0.85	69.29	reverted
2026-05-11T00:17:00	v17_prefetch_B_lines	65.45	0.85	66.32	reverted
2026-05-11T00:18:00	v18_vnni_dpwssd	62.60	0.86	63.47	reverted
2026-05-11T00:19:00	v19_remove_unused_parse_int	62.58	0.85	63.44	reverted
2026-05-11T00:20:00	v20_simd_scan_positions_parse	73.13	0.83	73.97	reverted
2026-05-11T00:21:00	v21_branchless_parse	73.59	0.85	74.45	reverted
2026-05-11T00:22:00	v22_simd_scan_pos_branchy	75.35	0.82	76.18	reverted
2026-05-11T00:23:00	v23_unroll_pragma_4	64.17	0.85	65.04	reverted
2026-05-11T00:24:00	v24_multithread_parse_cpu6	35.62	3.59	39.22	kept
2026-05-11T00:25:00	v25_trace_on_worker	43.61	0.02	41.81	reverted
2026-05-11T00:26:00	v26_prefetch_B_in_trace	35.99	4.32	40.30	reverted
2026-05-11T00:27:00	v27_worker_prefetch_recvbuf	37.69	3.62	41.35	reverted
2026-05-11T00:28:00	v28_worker_cpu36_smt	59.71	0.94	60.66	reverted
2026-05-11T00:29:00	v29_worker_cpu8	35.68	3.54	39.19	reverted
2026-05-11T00:30:00	v30_dual_acc_trace	35.64	3.56	39.18	kept
2026-05-11T00:31:00	v31_split_trace_race	42.06	0.03	42.10	reverted_race
2026-05-11T00:32:00	v32_worker_scans_for_a_end	39.24	3.60	42.82	reverted
2026-05-11T00:33:00	v33_worker_sched_fifo	34.63	3.51	38.13	kept
2026-05-11T00:34:00	v34_quad_acc_trace	34.60	3.49	38.10	kept
2026-05-11T00:35:00	v35_packed_sync_cacheline	34.65	3.53	38.15	reverted
2026-05-11T00:36:00	v36_no_cpu_set	31998.55	1.29	31999.86	reverted_disaster
2026-05-11T00:37:00	v37_mlockall_micro	37.70	3.61	41.32	reverted
2026-05-11T00:38:00	v38_fifo_priority_99	35.95	3.59	39.55	reverted
2026-05-11T00:39:00	v39_worker_cpu2	34.74	3.55	38.27	reverted
2026-05-11T00:40:00	v40_worker_cpu0	34.79	3.60	38.34	reverted
2026-05-11T00:41:00	v41_worker_cpu14	34.73	3.54	38.27	reverted
2026-05-11T00:42:00	v42_three_way_split	43.36	4.24	47.55	reverted
2026-05-11T00:43:00	v43_worker_scans_a_end	37.57	3.60	41.13	reverted
2026-05-12T00:00:00	v44_robust_runtime_topology_avx_fallback	36.05	3.59	39.62	kept
2026-05-28T00:00:00	v45_pure_busypoll_no_block	-	-	-	reverted_softirq_starve
2026-05-28T01:00:00	v45_perf_governor_selfset	36.5	3.56	40.0	kept_e2e
2026-05-28T02:00:00	v46_pin_min_freq	36.5	3.56	40.0	kept_e2e
2026-05-28T03:00:00	v47_quickack_rearm	36.5	3.56	40.0	kept_e2e_unmeasured
