size,book,workload,seconds,ops_per_sec
1000,baseline,add,0.000239667,4.17246e+06
1000,optimized,add,0.000161125,6.20636e+06
1000,baseline,mixed,0.0003785,3.96301e+06
1000,optimized,mixed,0.00024075,6.23053e+06
5000,baseline,add,0.00130179,3.84086e+06
5000,optimized,add,0.00131833,3.79267e+06
5000,baseline,mixed,0.00375992,1.99472e+06
5000,optimized,mixed,0.00237079,3.1635e+06
10000,baseline,add,0.00447796,2.23316e+06
10000,optimized,add,0.00229458,4.35809e+06
10000,baseline,mixed,0.0114077,1.3149e+06
10000,optimized,mixed,0.00817129,1.8357e+06
50000,baseline,add,0.053836,928747
50000,optimized,add,0.0278648,1.79438e+06
50000,baseline,mixed,0.0852797,879459
50000,optimized,mixed,0.046735,1.60479e+06
100000,baseline,add,0.0941539,1.06209e+06
100000,optimized,add,0.0662884,1.50856e+06
100000,baseline,mixed,0.214261,700081
100000,optimized,mixed,0.125877,1.19164e+06
500000,baseline,add,0.823569,607114
500000,optimized,add,0.580729,860986
500000,baseline,mixed,1.32457,566221
500000,optimized,mixed,1.20008,624957
1000000,baseline,add,1.85306,539647
1000000,optimized,add,1.11882,893801
1000000,baseline,mixed,4.22404,355110
1000000,optimized,mixed,2.64212,567725
